# tracer: nop
#
# entries-in-buffer/entries-written: 178/178   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-24609   [014] ..... 87078.853873: kvm_emulate_insn: 0:f4:c7 05 08 00 00 10 00 70 00 00 (prot32)
             vmm-24609   [014] ..... 87078.853876: kvm_mmio: mmio write len 4 gpa 0x10000008 val 0x7000
             vmm-24609   [014] ..... 87078.853891: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] d..1. 87078.853942: kvm_entry: vcpu 0, rip 0xfe
             vmm-24609   [014] d..1. 87078.853956: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xfe info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.853962: kvm_emulate_insn: 0:fe:c7 05 00 00 00 10 03 00 00 00 (prot32)
             vmm-24609   [014] ..... 87078.853965: kvm_mmio: mmio write len 4 gpa 0x10000000 val 0x3
             vmm-24609   [014] ..... 87078.853979: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] ..... 87078.854085: kvm_set_irq: gsi 4 level 1 source 0
             vmm-24609   [014] ...1. 87078.854093: kvm_apic_accept_irq: apicid 0 vec 64 (Fixed|edge)
             vmm-24609   [014] ...1. 87078.854099: kvm_ioapic_set_irq: pin 4 dst 0 vec 64 (Fixed|physical|edge)
             vmm-24609   [014] ..... 87078.854116: kvm_set_irq: gsi 4 level 0 source 0
             vmm-24609   [014] ...1. 87078.854121: kvm_ioapic_set_irq: pin 4 dst 0 vec 64 (Fixed|physical|edge)
             vmm-24609   [014] d..1. 87078.854157: kvm_entry: vcpu 0, rip 0x108
             vmm-24609   [014] d..1. 87078.854172: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x19d info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.854178: kvm_emulate_insn: 0:19d:a1 04 00 00 10 (prot32)
             vmm-24609   [014] ..... 87078.854180: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000004 val 0x0
             vmm-24609   [014] ..... 87078.854195: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] ..... 87078.854221: kvm_mmio: mmio read len 4 gpa 0x10000004 val 0x2
             vmm-24609   [014] d..1. 87078.854231: kvm_entry: vcpu 0, rip 0x1a2
             vmm-24609   [014] d..1. 87078.854244: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x1a7 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.854250: kvm_emulate_insn: 0:1a7:a3 14 00 00 10 (prot32)
             vmm-24609   [014] ..... 87078.854252: kvm_mmio: mmio write len 4 gpa 0x10000014 val 0x1
             vmm-24609   [014] ..... 87078.854267: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] d..1. 87078.854318: kvm_entry: vcpu 0, rip 0x1ac
             vmm-24609   [014] d..1. 87078.854334: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x129 info1 0x0000000000000781 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.854336: kvm_page_fault: vcpu 0 rip 0x129 address 0x0000000000006000 error_code 0x781
             vmm-24609   [014] d..1. 87078.854354: kvm_entry: vcpu 0, rip 0x129
             vmm-24609   [014] d..1. 87078.854364: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x129 info1 0x0000000000000781 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.854365: kvm_page_fault: vcpu 0 rip 0x129 address 0x0000000000007000 error_code 0x781
             vmm-24609   [014] d..1. 87078.854378: kvm_entry: vcpu 0, rip 0x129
             vmm-24609   [014] d..1. 87078.854388: kvm_exit: vcpu 0 reason IO_INSTRUCTION rip 0x12f info1 0x0000000000820040 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.854389: kvm_pio: pio_write at 0x82 size 1 count 1 val 0x0 
             vmm-24609   [014] ..... 87078.854403: kvm_userspace_exit: reason KVM_EXIT_IO (2)
