# tracer: nop
#
# entries-in-buffer/entries-written: 2647/2647   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-36697   [031] ...1. 136276.021783: kvm_tdp_mmu_spte_changed: as id 0 gfn 2c level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021783: kvm_tdp_mmu_spte_changed: as id 0 gfn 2d level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021784: kvm_tdp_mmu_spte_changed: as id 0 gfn 2e level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021785: kvm_tdp_mmu_spte_changed: as id 0 gfn 2f level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021786: kvm_tdp_mmu_spte_changed: as id 0 gfn 30 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021786: kvm_tdp_mmu_spte_changed: as id 0 gfn 31 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021787: kvm_tdp_mmu_spte_changed: as id 0 gfn 32 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021788: kvm_tdp_mmu_spte_changed: as id 0 gfn 33 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021789: kvm_tdp_mmu_spte_changed: as id 0 gfn 34 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021790: kvm_tdp_mmu_spte_changed: as id 0 gfn 35 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021790: kvm_tdp_mmu_spte_changed: as id 0 gfn 36 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021791: kvm_tdp_mmu_spte_changed: as id 0 gfn 37 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021793: kvm_tdp_mmu_spte_changed: as id 0 gfn 38 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021794: kvm_tdp_mmu_spte_changed: as id 0 gfn 39 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021795: kvm_tdp_mmu_spte_changed: as id 0 gfn 3a level 1 old_spte 0 new_spte 5a0
